session_id,cur_chunk_window,num_prev_chunks,default_ind,session_time,completion_status_ind,command,session_log_filename,session_log_filepath
0,0,1,1,2024-04-27 20:49:10.211751,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py file c_audio_warriors_vs_nets_feb_2024.txt,session0.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
1,0,1,1,2024-04-27 20:50:52.106624,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_warriors_vs_nets_feb_2024.xlsx 0,session1.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
2,0,1,1,2024-04-28 21:54:11.981097,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py file c_audio_warriors_vs_celtics_feb_2024.txt,session2.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
3,0,1,1,2024-04-28 21:56:09.768741,e,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_warriors_vs_celtics_feb_2024.xlsx 2,session3.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
4,0,1,1,2024-04-28 21:58:14.665212,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_warriors_vs_celtics_feb_2024.xlsx 2,session4.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
5,0,1,1,2024-04-29 12:33:55.410278,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py file c_audio_greenbay_vs_cowboys.txt,session5.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
6,0,1,1,2024-04-29 12:35:31.672501,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_greenbay_vs_cowboys.xlsx 5,session6.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
7,0,1,1,2024-05-07 22:19:19.859362,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py file c_audio_superbowl_2024.txt,session7.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
8,0,1,1,2024-05-07 22:22:09.111966,e,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session8.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
9,0,1,1,2024-05-07 22:23:54.073484,e,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session9.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
10,0,1,1,2024-05-07 22:25:11.808717,e,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session10.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
11,0,1,1,2024-05-07 22:29:17.617764,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session11.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
12,0,1,1,2024-05-07 22:46:39.391887,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session12.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
13,0,1,1,2024-05-07 22:52:45.813627,s,C:\Users\bbfor\OneDrive\code\detect_commercials\process_transcript.py excelfile transition_superbowl_2024.xlsx 7,session13.txt,C:\Users\bbfor\OneDrive\code\detect_commercials\session_logs\
